类别,子类别,资源名称,用途说明,优先级,当前状态,建议来源/备注
"音效","战斗","hit","普通击中音效","P0","缺失","小森平 jidaigeki01en.html → 刀剑斩击肉体声"
"音效","战斗","slash","挥砍破风声","P0","缺失","小森平 jidaigeki01en.html → 刀剑挥舞声"
"音效","战斗","parry","弹反成功金属碰撞声","P0","缺失","小森平 jidaigeki01en.html → 刀剑碰撞声"
"音效","战斗","heavy_hit","重击打击声","P0","缺失","小森平 jidaigeki01en.html → 重斩击打声"
"音效","战斗","punch","拳击/普通打击声","P1","缺失","小森平 attack01en.html → 重拳打击声"
"音效","战斗","damage_taken","玩家受击闷哼声","P1","缺失","小森平 attack01en.html → 受击闷哼"
"音效","战斗","death","敌人死亡倒地声","P0","缺失","小森平 attack01en.html → 沉重倒地声"
"音效","战斗","boss_death","Boss死亡大型碎裂声","P0","缺失","小森平 arms01en.html → 大型碎裂声"
"音效","移动","dash","冲刺掠过声","P0","缺失","小森平 human01en.html → 快速冲刺声"
"音效","移动","footstep","脚步声（沙石地面）","P1","缺失","小森平 human01en.html → 沙石脚步声"
"音效","UI","ui_click","UI 点击/毛笔触纸声","P0","缺失","小森平 game01en.html → 轻柔点击声"
"音效","UI","ui_confirm","UI 确认上扬提示声","P0","缺失","小森平 game01en.html → 确认音效"
"音效","UI","ui_cancel","UI 取消/错误低沉短声","P0","缺失","小森平 game01en.html → 取消音效"
"音效","UI","ui_coin","金币拾取清脆叮当声","P1","缺失","小森平 game01en.html → 金币拾取声"
"音效","升级","levelup","升级/强化上扬旋律","P0","缺失","小森平 game01en.html → 升级号角声"
"音效","升级","exp_pickup","经验水晶轻闪光收集声","P0","缺失","小森平 game01en.html → 闪光收集声"
"音效","技能","special_skill","能量蓄力释放（水墨爆发感）","P0","缺失","小森平 magic01en.html → 能量蓄力释放"
"音效","技能","buff_activate","光环加身空灵上扬声","P1","缺失","小森平 magic01en.html → 光环加身"
"音效","环境","ambient_wind","竹林微风环境音","P2","缺失","小森平 nature01en.html → 竹林微风"
"音效","环境","ambient_rain","细雨声（水墨意境）","P2","缺失","小森平 nature01en.html → 细雨声"
"音效","BGM","bgm_menu","主菜单BGM（尺八独奏）","P0","缺失","MiniMax AI生成国风尺八独奏"
"音效","BGM","bgm_battle","战斗BGM（太鼓节奏）","P0","缺失","MiniMax AI生成国风太鼓"
"音效","BGM","bgm_boss","Boss战BGM（大鼓重击）","P0","缺失","MiniMax AI生成压迫感大鼓"
"音效","结束","game_over","游戏结束低沉哀伤声","P0","缺失","小森平 magic01en.html → 低沉哀伤"
"音效","结束","victory","胜利号角古筝扫弦感","P1","缺失","小森平 game01en.html → 胜利号角"
"Spine动画","玩家","player_idle","玩家待机动：水墨侠客呼吸起伏","P0","缺失","Spine制作 → 侠客持剑，衣袂微动"
"Spine动画","玩家","player_run","玩家奔跑：衣袂飘动墨迹拖尾","P0","缺失","Spine制作 → 疾跑"
"Spine动画","玩家","player_attack","玩家普通攻击：挥剑墨线轨迹","P0","缺失","Spine制作 → 挥剑斩击"
"Spine动画","玩家","player_heavy_attack","玩家重击：蓄力重斩墨爆","P0","缺失","Spine制作 → 蓄力重斩"
"Spine动画","玩家","player_dash","玩家冲刺：化为墨影前冲","P0","缺失","Spine制作 → 墨影冲刺"
"Spine动画","玩家","player_hurt","玩家受击：后仰溅墨","P0","缺失","Spine制作 → 受击"
"Spine动画","玩家","player_die","玩家死亡：墨迹消散","P0","缺失","Spine制作 → 死亡消散"
"Spine动画","玩家","player_parry","玩家弹反：格挡墨盾展开","P0","缺失","Spine制作 → 弹反格挡"
"Spine动画","玩家","player_parry_success","弹反成功：墨花绽放","P0","缺失","Spine制作 → 弹反成功"
"Spine动画","杂兵","grunt_idle","杂兵待机","P0","缺失","Spine制作 → 水墨小妖"
"Spine动画","杂兵","grunt_walk","杂兵移动靠近","P0","缺失","Spine制作 → 缓慢靠近"
"Spine动画","杂兵","grunt_attack","杂兵攻击挥砍","P0","缺失","Spine制作 → 挥砍"
"Spine动画","杂兵","grunt_hurt","杂兵受击溅墨后仰","P0","缺失","Spine制作 → 受击"
"Spine动画","杂兵","grunt_die","杂兵死亡墨迹消散","P0","缺失","Spine制作 → 死亡"
"Spine动画","弓手","archer_idle","弓手拉弓待机","P0","缺失","Spine制作 → 水墨弓手"
"Spine动画","弓手","archer_attack","弓手墨箭射出","P0","缺失","Spine制作 → 攻击"
"Spine动画","弓手","archer_hurt","弓手受击溅墨后仰","P0","缺失","Spine制作 → 受击"
"Spine动画","弓手","archer_die","弓手死亡弓折人散","P0","缺失","Spine制作 → 死亡"
"Spine动画","精英","elite_idle","精英大型妖怪待机","P0","缺失","Spine制作 → 大型妖怪"
"Spine动画","精英","elite_attack","精英攻击大型挥砍","P0","缺失","Spine制作 → 攻击"
"Spine动画","精英","elite_hurt","精英受击溅墨后仰","P0","缺失","Spine制作 → 受击"
"Spine动画","精英","elite_die","精英死亡墨爆消散","P0","缺失","Spine制作 → 死亡"
"Spine动画","Boss","boss_idle","Boss巨型妖怪待机","P0","缺失","Spine制作 → 巨型妖怪"
"Spine动画","Boss","boss_attack","Boss大型AOE攻击","P0","缺失","Spine制作 → 攻击"
"Spine动画","Boss","boss_hurt","Boss受击墨迹飞溅","P0","缺失","Spine制作 → 受击"
"Spine动画","Boss","boss_die","Boss死亡墨海消散","P0","缺失","Spine制作 → 死亡"
"预制体","玩家","Player","玩家完整预制体（Spine+全组件）","P0","缺失","代码创建 → 需转为预制体"
